symbol,mcap_eur_bn,drop_reason,gross_margin,revenue_growth,name
PHM,19.2,gross_margin,0.261,-0.124,"PulteGroup, Inc."
EN.PA,19.1,revenue_growth,0.56477,-0.032,BOUYGUES
SW,19.1,gross_margin,0.19027,0.007,Smurfit WestRock plc
TEL.OL,19.1,revenue_growth,0.65228,-0.014,TELENOR
LEN,19.0,gross_margin,0.16871001,-0.133,Lennar Corporation
PFG,19.0,revenue_growth,0.47612998,-0.045,Principal Financial Group Inc
LYB,18.7,gross_margin,0.09227,-0.063,LyondellBasell Industries NV
NN.AS,18.7,revenue_growth,0.58268,-0.015,NN GROUP
AA,18.6,gross_margin,0.16254,-0.052,Alcoa Corporation
CHRW,18.5,gross_margin,0.08574,-0.008,"C.H. Robinson Worldwide, Inc."
EDP.LS,18.4,revenue_growth,0.40208998,-0.008,"EDP, SA"
STLAM.MI,18.4,gross_margin,0.057919998,0.065,STELLANTIS
LH,18.3,gross_margin,0.28834,0.058,Labcorp Holdings Inc.
EMSN.SW,18.2,avg_volume,0.48496,-0.054,EMS-CHEMIE N
GEBN.SW,18.2,revenue_growth,0.73640996,-0.006,GEBERIT N
OMC,18.1,gross_margin,0.18431999,0.692,Omnicom Group Inc.
WWD,18.1,gross_margin,0.28545,0.234,"Woodward, Inc."
EXPD,17.9,gross_margin,0.1362,0.044,Expeditors International of Was
TELIA.ST,17.8,revenue_growth,0.50043,-0.003,Telia Company AB
TSN,17.8,gross_margin,0.06385,0.044,"Tyson Foods, Inc."
ROIV,17.7,gross_margin,0.0,-0.667,Roivant Sciences Ltd.
8TRA.DE,17.4,gross_margin,0.16899,-0.035,TRATON SE                     I
LUV,17.4,gross_margin,0.23006001,0.128,Southwest Airlines Company
MB.MI,17.3,gross_margin,0.0,0.005,MEDIOBANCA
PKG,17.3,gross_margin,0.21753,0.106,Packaging Corporation of Americ
RS,17.3,gross_margin,0.28701,0.155,"Reliance, Inc."
ALB,17.2,gross_margin,0.18531,0.327,Albemarle Corporation
VNA.DE,17.2,revenue_growth,0.60118,-0.338,Vonovia SE                    N
LGEN.L,17.0,gross_margin,0.25487,0.139,LEGAL & GENERAL GROUP PLC ORD 2
TTMI,16.9,gross_margin,0.21004,0.304,"TTM Technologies, Inc."
MRNA,16.8,gross_margin,-0.69888,2.602,"Moderna, Inc."
AMKR,16.3,gross_margin,0.14425999,0.275,"Amkor Technology, Inc."
IFF,16.3,revenue_growth,0.36346,-0.036,International Flavors & Fragran
RBI.VI,16.1,gross_margin,0.0,-0.063,Raiffeisen Bank Internat. AG
CHTR,16.0,revenue_growth,0.55346,-0.01,"Charter Communications, Inc."
USFD,15.9,gross_margin,0.17395,0.028,US Foods Holding Corp.
MTX.DE,15.8,gross_margin,0.19239001,0.057,MTU Aero Engines AG           N
WCC,15.7,gross_margin,0.21191,0.138,"WESCO International, Inc."
BOL.PA,15.5,gross_margin,0.065349996,-0.133,BOLLORE SE
IP,15.4,gross_margin,0.29687,0.134,International Paper Company
